mean,variance,rms,kurtosis,skewness,peak,crest_factor,zero_cross,spec_mean,spec_var,spec_max,spec_entropy,spec_centroid,spec_rolloff,band_low,band_mid,band_high,band_low_rms,band_high_rms,sensor_type,label
-1.584642962556615e-06,8.149543171555539e-06,0.002854740913401575,-0.040374766870605594,0.03793692092178014,0.01117249447656504,3.913663206393193,1471,0.06012593502050411,0.02285703641518385,4.412132584473408,7.107109649575167,910.8725350187256,1478.0,0.7420124675501152,0.24604444404402342,0.01194308840585722,0.26529800764077927,0.002882110052105119,0,0
1.111369783929491e-05,6.357770776899472e-06,0.0025214865240923133,0.025923068702835117,0.0012754569533250243,0.00921337331495797,3.653945094263237,1561,0.057811336874686925,0.012209424511114746,1.2576607328974605,7.203337103786442,912.747851028818,1450.0,0.7793002233017156,0.2090152784788468,0.011684498219433294,0.20259901951258602,0.002697100779526296,0,0
1.5165215043811432e-05,5.7166469659164876e-06,0.002390999153003575,0.036542302843066476,-0.029933627065456984,0.009213350452554524,3.85334743468257,1701,0.06272124316728983,0.01381674450738018,1.61257190714334,7.272816957905675,966.3179311360506,1485.0,0.7495004120424577,0.23485317564633576,0.015646412311202607,0.21580705649359322,0.003987420290285933,0,0
1.907621283903567e-05,6.1709398141328955e-06,0.0024842108839688262,0.13811054783316967,-0.04333574016613718,0.010320325676768528,4.154367788728373,1584,0.06015723932667449,0.013180502927310406,2.4315872937880925,7.28537787256782,967.0452642029791,1494.0,0.7270098138334993,0.25594870673446773,0.01704147943202887,0.2059524934059805,0.004181087908709495,0,0
-4.477531662147389e-06,7.2392638151328e-06,0.0026905917310923607,-0.04586630887807219,0.06782698268365563,0.010321153157158735,3.8360160844501006,1276,0.05529783542267587,0.01945088243431439,4.729070418049881,7.170574893122564,943.2763132989072,1502.0,0.7237814861724663,0.2608234914868229,0.015395022340706301,0.24639790782014798,0.003420977790639608,0,0
9.203216196830063e-06,6.3012792990225485e-06,0.002510251779844188,-0.04405974749796249,0.08008684973905784,0.010944399447266632,4.3598811621780635,1249,0.055789440692759415,0.017978290480203205,2.7229054335574947,7.143541307038092,909.2747972426159,1475.0,0.7636266287348975,0.2214471470664124,0.01492622419868567,0.2424840161816335,0.003361126321569154,0,0
-2.5875215204665368e-06,5.308592515881956e-06,0.0023040397590210057,-0.055629536553072345,0.011548719643461765,0.00828771050129889,3.5970344994482066,1311,0.05066862007997753,0.014207945895720307,2.2739402124222354,7.122961167054275,905.7930445543328,1476.0,0.7527294534993724,0.23158137881260102,0.015689167688021668,0.21365409901039012,0.00311343364773511,0,0
-8.87134133808696e-06,4.94193679827327e-06,0.0022230644387804884,-0.04355346385901848,0.020385741554101385,0.008290724876274467,3.7294127563942903,1301,0.04501498912675893,0.014395873248715003,3.490619768887712,7.131574003943988,910.8733495218987,1494.0,0.7424526301168396,0.23891962913397127,0.0186277407491836,0.2138006897165247,0.0033976701563080834,0,0
-1.537769823444571e-05,5.226359522471545e-06,0.002286174970573017,-0.2028823920539704,-0.03962456558262544,0.008915590858522175,3.8997850003963306,1398,0.04948756833824776,0.0120246721044909,3.0910433858429904,7.230798932565408,965.7617146239394,1511.0,0.714339364494523,0.2663641675903911,0.0192964679150809,0.19453441013137135,0.003956469577697835,0,0
-1.2052400138365012e-05,8.688249398828021e-06,0.002947608294732717,0.36008607837779705,0.031498620820009364,0.012263237108321424,4.160402564423313,1479,0.06431270057173834,0.02019397226167544,3.399482483611418,7.187468631945857,987.2227854516375,1531.0,0.6986442091569187,0.2835165648400475,0.017839226003029868,0.25021537590155507,0.00459837349174241,0,0
1.0076667703455427e-05,1.2339132465804435e-05,0.003512724584284461,0.04310453440660389,-0.005460578938539289,0.013173869412301392,3.750328013542484,1582,0.08355536557495889,0.03268990307163174,3.710637453129752,7.1905596351809615,991.0619813475092,1520.0,0.7179304300411842,0.2631261065667611,0.018943463392051718,0.3205059486833247,0.006476338411227476,0,0
1.6185746399973385e-05,1.259517849841957e-05,0.0035490055616758474,0.05075810418973692,-0.017546034573402276,0.01555942695256654,4.384165277334575,1827,0.09076575526704807,0.03168104280496635,4.207111583963493,7.2844928254925065,979.4391278560892,1502.0,0.7104283996756039,0.2693150916971943,0.020256508627198938,0.3120572694573727,0.007539748193841036,0,0
-1.3945308171575897e-06,1.1112400241249876e-05,0.003333526988936204,0.05218236445776636,-0.029499387761678122,0.01555933062430997,4.667528019407237,1875,0.08724243214542665,0.024543580366698684,2.684319190082719,7.302934604083735,1030.3324256484038,1515.0,0.665128701201659,0.3167712258237083,0.018100072974629636,0.2579142202922395,0.006563145199074416,0,0
6.789261387399007e-06,8.464107583056962e-06,0.0029093218586342673,0.1678614348684344,-0.08791069641519439,0.011324991384628443,3.8926567547066697,1760,0.07501238582054011,0.01864696459952786,1.9664973854117769,7.316426960661283,965.5164349314551,1496.0,0.7245145916839666,0.25621117505789454,0.019274233258135518,0.24528140979201585,0.00589516629072014,0,0
-1.7906583520799996e-05,7.243740190803245e-06,0.002691479302639467,0.021525949770017316,-0.04902684097869573,0.011322428607072336,4.206767852893653,1589,0.06667404386830195,0.01725375942646529,3.6748134195355395,7.330583514453962,985.742417592573,1525.0,0.7117852713239738,0.26907972930156343,0.019134999374458745,0.23473809665615147,0.005169896624745247,0,0
3.097500159303289e-06,6.738074588519636e-06,0.002595781998363282,0.018601141882624628,0.03515057504831207,0.009707590678384306,3.7397557593454427,1494,0.059942159554673205,0.014679189758476308,2.765799500824927,7.249112822954646,958.110191577464,1501.0,0.7225334945611943,0.26096408233090285,0.016502423107898755,0.21755594507662065,0.003849236081030515,0,0
